Country,Capital,Abrv,Population,Facebook_users,Internet_users
Afghanistan,Kabul,AF,37209007,3200000,6538124
Armenia,Yerevan,AM,2936706,990000,2126716
Azerbaijan,Baku,AZ,10014575,1800000,7999431
Bangladesh,Dhaka,BD,168065920,28000000,92061000
Bhutan,Thimphu,BT,816229,350000,370423
Brunei,Bandar Seri Begawan,BN,439336,350000,410836
Camboya,Phnom,KH,16482646,6300000,8005551
China,Beijing,CN,1420062022,1800000,829000000
Georgia,T'bilisi,GE,3904204,2100000,2658311
Hong Kong,Victoria,HK,7490776,5200000,6461894
India,New Delhi,IN,1368737513,251000000,560000000
Indonesia,Jakarta,ID,269536482,130000000,143260000
Japan,Tokyo,JP,126854745,71000000,118626672
Kazakhstan,Astana,KZ,18592970,2500000,14063513
North Korea,P'yongyang,KP,25727408,14000,14000
South Korea,Seoul,KR,51339238,43000000,47353649
Kyrgyzstan,Bishkek,KG,6218616,650000,2493400
Laos,Vientiane,LA,7064242,2200000,2500000
Macao,Macao,MO,642090,380000,512352
Malaysia,Kuala,MY,32454455,22000000,25084255
Maldives,Male,MV,451738,320000,340000
Mongolia,Ulaanbaatar,MN,3166244,1900000,2000000
Myanmar,Rangoon,MM,54336138,16000000,18000000
Nepal,Kathmandu,NP,29942018,8700000,16190000
Pakistan,Islamabad,PK,204596442,32000000,44608065
Philippines,Manila,PH,108106310,62000000,67000000
Singapore,Singapore,SG,5868104,4300000,4839204
Sri Lanka,Colombo,LK,21018859,5500000,6710160
Taiwan,Taipei,TW,23758247,18000000,20821364
Tajikistan,Dushanbe,TJ,9292000,170000,3013256
Thailand,Bangkok,TH,69306160,46000000,57000000
Timor Leste,Dili,TP,1352360,390000,410000
Turkmenistan,Ashgabat,TM,5942561,20000,1049915
Uzbekistan,Tashkent,UZ,32807368,800000,15453227
Vietnam,Hanoi,VN,97429061,50000000,64000000
