Country,Capital,Population,Abrv,Facebook_users,Internet_users
Anguilla,The Valley,14909,AI,9000,12557
Antigua,Saint Johns,103909,AG,62000,81900
Aruba,Oranjestad,105670,AW,91000,100000
Bahamas,Nassau,399285,BS,220000,333143
Barbados,Bridgetown,285744,BB,160000,228717
"Bonaire,",Kralendijk,25699,BQ,20,20956
British Virgin Islands,Raod Town,31200,VG,4600,14620
Cayman Islands,George Town,61557,KY,45000,47003
Cuba,Havana,11390184,CU,0,3696765
Curaçao,Willemstad,159987,CW,80,138774
Dominica,Roseau,73353,DM,39000,48269
Dominican,Saint Domingo,10766564,DO,4500000,6054013
Granada,Saint George,107850,GD,56000,56000
Guadeloupe,Basse-Terre,472462,GP,220000,220000
Haiti,Port-au-Prince,10983274,HT,1300000,1308290
Jamaica,Kingston,2813285,JM,1100000,1581100
Martinique,Fort-de-France,396071,MQ,170000,303302
Montserrat,Plymouth,5179,MS,2900,2900
Puerto Rico,San Juan,3679086,PR,2100000,3047311
St. Barthelemy,Gustavia,7184,BL,20,1540
St. Kitts &amp; Nevis,Basseterre,56780,KN,35000,39210
Santa Lucia,Castries,187768,LC,88000,109370
Saint Martin,Marigot,32125,MF,200,1100
Saint  Vincent &amp;,Kingstown,109895,VC,59000,65984
Sint Maarten,Philipsburg,40117,SX,20,20
Trinidad &amp;,Port-of-Spain,1369157,TT,700000,942713
Turks And Caicos,Cockburn,35442,TC,25000,25000
Virgin Islands US,Charlotte,106574,VI,21000,57485
